epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.936,1.17129,1.65535,1.30933,0.51048,0.41107,0.40364,0.23846,1.54487,3.45726,1.77008,0.086338,0.000422535,0.000422535
2,277.515,1.07839,1.19675,1.2211,0.4457,0.43833,0.37847,0.26828,1.60667,3.17437,1.79572,0.0724786,0.000848837,0.000848837
3,394.703,1.13347,1.12216,1.21371,0.4921,0.44306,0.34694,0.25087,1.0992,1.92337,1.2312,0.0586169,0.00127285,0.00127285
4,511.068,1.06908,1.05636,1.1914,0.62768,0.52548,0.51712,0.35137,1.08447,1.72427,1.21126,0.0447529,0.00169458,0.00169458
5,634.333,1.01089,0.98153,1.14988,0.66331,0.55126,0.54735,0.41044,1.13943,1.69109,1.30222,0.0308867,0.00211403,0.00211403
6,758.622,0.97594,0.91433,1.13612,0.67329,0.5318,0.5522,0.46547,0.86197,1.07402,0.9941,0.0170181,0.00253119,0.00253119
7,875.888,0.96988,0.86398,1.11806,0.68801,0.53987,0.56098,0.44997,0.88783,1.03207,1.04978,0.00314727,0.00294606,0.00294606
8,994.144,0.92812,0.80934,1.09008,0.73596,0.58972,0.61607,0.49514,0.77126,0.85701,0.888,0.002944,0.002944,0.002944
9,1106.09,0.90171,0.75449,1.07728,0.82696,0.5882,0.62523,0.46094,0.79609,0.8261,0.91476,0.002936,0.002936,0.002936
