epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37701.2,0.83437,0.41843,1.05784,0.92319,0.69257,0.77344,0.61656,0.68507,0.34287,0.88214,0.0005941,0.0005941,0.0005941
43,38593.8,0.81578,0.40301,1.05217,0.9361,0.70879,0.78958,0.63456,0.64703,0.31716,0.88239,0.0005842,0.0005842,0.0005842
44,39484.9,0.80359,0.40286,1.04659,0.93367,0.69889,0.77687,0.62359,0.65766,0.32712,0.87643,0.0005743,0.0005743,0.0005743
45,40341.9,0.81599,0.40812,1.05074,0.92198,0.70436,0.77583,0.62268,0.67854,0.34009,0.88855,0.0005644,0.0005644,0.0005644
46,41235.4,0.80877,0.40101,1.04997,0.92583,0.71649,0.78811,0.63679,0.63741,0.31806,0.86892,0.0005545,0.0005545,0.0005545
47,42092.9,0.78977,0.39518,1.04636,0.94586,0.71081,0.78891,0.63694,0.64984,0.32864,0.8702,0.0005446,0.0005446,0.0005446
48,43005.8,0.78985,0.3953,1.04123,0.94089,0.70279,0.78505,0.63301,0.65053,0.32218,0.87964,0.0005347,0.0005347,0.0005347
49,43895.7,0.7884,0.39193,1.0453,0.94689,0.69707,0.78193,0.63187,0.64591,0.32716,0.87555,0.0005248,0.0005248,0.0005248
50,44742.6,0.77561,0.38773,1.03888,0.93005,0.71207,0.78925,0.63628,0.6225,0.32149,0.87318,0.0005149,0.0005149,0.0005149
51,45606,0.75244,0.37583,1.0325,0.94068,0.70609,0.78698,0.63988,0.62308,0.30397,0.86836,0.000505,0.000505,0.000505
52,46507.3,0.76419,0.38187,1.0389,0.92187,0.71338,0.792,0.645,0.63273,0.31146,0.86794,0.0004951,0.0004951,0.0004951
53,47383.2,0.76314,0.38034,1.03617,0.94545,0.71458,0.79064,0.64131,0.62994,0.3122,0.88048,0.0004852,0.0004852,0.0004852
54,48275.9,0.75399,0.37656,1.0327,0.90055,0.71388,0.78827,0.64591,0.60673,0.31366,0.87036,0.0004753,0.0004753,0.0004753
55,49114.8,0.73871,0.36738,1.02818,0.9472,0.71423,0.79582,0.6536,0.5961,0.29064,0.85812,0.0004654,0.0004654,0.0004654
56,49962.2,0.73135,0.36457,1.0327,0.93618,0.71369,0.79684,0.65263,0.61595,0.30501,0.86517,0.0004555,0.0004555,0.0004555
57,50735.5,0.73073,0.36036,1.02911,0.94988,0.71853,0.80594,0.66177,0.60349,0.29942,0.86254,0.0004456,0.0004456,0.0004456
58,51525.6,0.71285,0.35485,1.02324,0.94349,0.72611,0.80111,0.66099,0.59938,0.29361,0.86791,0.0004357,0.0004357,0.0004357
59,52385.4,0.70705,0.35084,1.02191,0.94997,0.71572,0.80503,0.66436,0.59336,0.2894,0.86097,0.0004258,0.0004258,0.0004258
60,53271.2,0.70298,0.34869,1.02449,0.93874,0.73278,0.79963,0.66116,0.56266,0.27635,0.84617,0.0004159,0.0004159,0.0004159
61,54107.7,0.71126,0.34864,1.02483,0.94648,0.72702,0.8048,0.66335,0.56802,0.28235,0.85143,0.000406,0.000406,0.000406
62,54950.7,0.69012,0.3415,1.0216,0.95593,0.72791,0.81022,0.67271,0.57479,0.28068,0.85003,0.0003961,0.0003961,0.0003961
63,55687.7,0.68361,0.33675,1.01536,0.94962,0.71785,0.80863,0.67272,0.56099,0.27152,0.8495,0.0003862,0.0003862,0.0003862
64,56622.5,0.67938,0.33588,1.01653,0.93673,0.73009,0.81388,0.67674,0.56034,0.27558,0.85427,0.0003763,0.0003763,0.0003763
65,57429.4,0.6744,0.33471,1.01754,0.93342,0.73336,0.81287,0.67495,0.57198,0.28113,0.85565,0.0003664,0.0003664,0.0003664
66,58306.2,0.66932,0.33391,1.01694,0.9497,0.7218,0.80992,0.67402,0.56015,0.27608,0.85095,0.0003565,0.0003565,0.0003565
67,59242.8,0.67005,0.33133,1.01554,0.95147,0.72581,0.81291,0.67815,0.5488,0.26675,0.84947,0.0003466,0.0003466,0.0003466
68,60091.2,0.668,0.32932,1.01376,0.95139,0.73102,0.81846,0.68189,0.55146,0.27343,0.8459,0.0003367,0.0003367,0.0003367
69,61002.2,0.65525,0.32169,1.01092,0.94046,0.73131,0.81946,0.68604,0.55114,0.2712,0.85022,0.0003268,0.0003268,0.0003268
70,61897.1,0.65083,0.32372,1.01464,0.93836,0.73331,0.81573,0.68359,0.54831,0.26404,0.84986,0.0003169,0.0003169,0.0003169
71,62791.1,0.653,0.32245,1.01245,0.93983,0.72846,0.81819,0.68506,0.53085,0.25939,0.83979,0.000307,0.000307,0.000307
72,63721.3,0.63354,0.31454,1.00788,0.94054,0.73947,0.81925,0.69009,0.51864,0.26132,0.83596,0.0002971,0.0002971,0.0002971
73,64585.9,0.63801,0.31531,1.00744,0.94354,0.7396,0.82084,0.69172,0.52557,0.25304,0.838,0.0002872,0.0002872,0.0002872
74,65383.9,0.63455,0.31259,1.00927,0.95723,0.73029,0.81851,0.68941,0.52254,0.25555,0.83689,0.0002773,0.0002773,0.0002773
75,66239.8,0.62954,0.31086,1.00624,0.94545,0.73608,0.82134,0.69404,0.51589,0.267,0.83978,0.0002674,0.0002674,0.0002674
76,67094.7,0.62163,0.30676,1.00484,0.93768,0.74301,0.82148,0.69342,0.51693,0.25395,0.84204,0.0002575,0.0002575,0.0002575
77,67922.5,0.62447,0.30723,1.00844,0.94345,0.73801,0.82165,0.69368,0.52293,0.25459,0.84302,0.0002476,0.0002476,0.0002476
78,68636.4,0.61665,0.30588,1.00158,0.9409,0.74208,0.82281,0.69474,0.51893,0.25502,0.83783,0.0002377,0.0002377,0.0002377
79,69512.3,0.60921,0.30047,1.00278,0.94321,0.74493,0.82271,0.69452,0.50768,0.25479,0.83711,0.0002278,0.0002278,0.0002278
80,70365.8,0.59667,0.29572,0.99957,0.94199,0.74552,0.8271,0.70222,0.50913,0.25102,0.83578,0.0002179,0.0002179,0.0002179
81,71248.6,0.59968,0.29688,1.0016,0.94108,0.74604,0.82801,0.69956,0.50529,0.24526,0.83366,0.000208,0.000208,0.000208
82,72142.5,0.59598,0.29304,0.99918,0.94482,0.74625,0.83088,0.70756,0.49165,0.24496,0.83321,0.0001981,0.0001981,0.0001981
83,72906.4,0.58088,0.29027,0.99868,0.94796,0.73836,0.82645,0.70034,0.50469,0.24536,0.8392,0.0001882,0.0001882,0.0001882
84,73684.8,0.58622,0.29206,0.99967,0.94222,0.74713,0.82795,0.70491,0.49304,0.24172,0.83758,0.0001783,0.0001783,0.0001783
85,74428.4,0.57235,0.28594,0.9963,0.953,0.74509,0.83079,0.70776,0.49703,0.24014,0.83227,0.0001684,0.0001684,0.0001684
86,75166.9,0.62414,0.29409,0.97765,0.95284,0.73965,0.82508,0.69688,0.50897,0.2496,0.83488,0.0001585,0.0001585,0.0001585
